Localidade;Microrregiões Geográficas;Mesorregiões Geográficas;Porte;População 2015;População 2016;População 2017;População 2018;PIB 2015;PIB 2016;PIB 2017;PIB 2018;Desp. Saúde 2015;Desp. Saúde 2016;Desp. Saúde 2017;Desp. Saúde 2018;IEGM 2015;IEGM 2016;IEGM 2017;IEGM 2018;IDM 2014;IDM 2016;IDM 2018;IDM 2020
Brazabrantes;MRG ANÁPOLIS;CENTRO GOIANO;pequeno porte I;3526;3565;3604;3659;25.685,73;31.857,99;28.976,00;29.765,00;3.387.340,01;3.800.593,42;3.251.252,16;4.097.980,46;A;B+;A;A;7,90;7,35;8,08;6,65
Britânia;MRG RIO VERMELHO;NOROESTE GOIANO;pequeno porte I;5772;5795;5817;5761;17.300,70;17.975,85;18.979,00;19.624,00;4.386.031,37;5.120.148,98;5.651.805,52;5.741.398,01;B;B+;-;A;8,30;8,20;8,50;7,00
Buriti Alegre;MRG MEIA PONTE;SUL GOIANO;pequeno porte I;9467;9501;9535;9433;31.048,28;31.622,05;33.479,00;32.991,00;5.016.886,48;5.421.772,93;5.074.200,78;6.325.487,87;B+;B+;B+;B;6,30;7,37;8,40;7,91
Buriti de Goiás;MRG ANICUNS;CENTRO GOIANO;pequeno porte I;2595;2589;2583;2501;13.249,01;14.273,85;14.851,00;15.223,00;3.174.375,29;3.801.098,12;3.925.398,42;4.274.836,5;-;A;B+;B;8,98;8,76;9,23;8,68
Buritinópolis;MRG VÃO DO PARANÃ;LESTE GOIANO;pequeno porte I;3394;3391;3389;3302;16.148,63;24.767,22;23.523,00;22.850,00;2.673.971,33;3.028.098,91;3.273.319,35;3.238.924,41;B+;C+;B;-;6,13;6,32;7,97;7,98
Cabeceiras;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;pequeno porte I;7829;7882;7935;7939;28.403,96;34.393,25;26.472,00;27.594,00;5.058.093,12;5.057.789,85;5.015.838,49;4.926.537,7;-;B+;A;A;7,30;8,23;7,67;8,10
Cachoeira Alta;MRG QUIRINÓPOLIS;SUL GOIANO;pequeno porte I;11683;11844;12002;12297;22.174,02;21.782,23;20.103,00;19.219,00;7.067.236,10;6.927.687,52;8.451.484,72;10.469.635,11;-;-;B+;B+;7,29;8,01;9,07;8,58
Cachoeira de Goiás;MRG IPORÁ;CENTRO GOIANO;pequeno porte I;1425;1419;1414;1361;18.155,71;17.600,30;17.946,00;20.102,00;2.104.430,05;2.405.863,78;2.113.511,81;2.876.426,6;-;B+;A;B+;7,34;6,96;7,04;7,71
Cachoeira Dourada;MRG MEIA PONTE;SUL GOIANO;pequeno porte I;8384;8369;8355;8102;89.678,97;114.807,73;107.839,00;110.272,00;8.016.945,93;8.815.764,38;8.469.095;9.379.105,93;B;B;B;B;8,67;8,75;7,63;8,68
Caçu;MRG QUIRINÓPOLIS;SUL GOIANO;pequeno porte I;14837;15065;15287;15743;38.270,86;53.694,65;55.199,00;57.727,00;11.516.694,21;13.613.559,52;15.676.177,44;18.867.327,97;B;-;B+;B+;7,11;8,41;8,32;8,33
Caiapônia;MRG SUDOESTE DE GOIÁS;SUL GOIANO;pequeno porte I;18148;18329;18505;18715;26.880,78;34.636,37;33.657,00;35.927,00;13.600.349,96;13.782.593,45;12.444.247,77;13.707.916,48;C+;B+;A;A;6,21;6,16;8,11;7,27
Caldas Novas;MRG MEIA PONTE;SUL GOIANO;médio porte;81477;83220;84900;89087;27.215,80;26.695,20;27.523,00;28.676,00;45.395.212,72;50.971.837,43;47.850.818,46;54.860.218,82;B+;B;A;B+;6,16;6,11;6,31;6,27
Caldazinha;MRG GOIÂNIA;CENTRO GOIANO;pequeno porte I;3624;3664;3703;3759;12.069,79;12.144,12;12.820,00;13.478,00;2.063.204,71;2.265.533,67;2.321.915,55;2.503.991,91;A;-;B+;A;7,64;8,12;7,64;7,45
Campestre de Goiás;MRG VALE DO RIO DOS BOIS;SUL GOIANO;pequeno porte I;3581;3602;3622;3610;14.056,95;13.525,88;14.864,00;16.035,00;2.047.822,64;2.331.903,31;2.346.914,03;3.120.846,74;-;-;B+;B+;5,99;7,56;7,71;8,32
Campinaçu;MRG PORANGATU;NORTE GOIANO;pequeno porte I;3743;3741;3740;3649;14.977,53;13.341,50;13.880,00;16.909,00;3.657.779,94;4.101.833,15;4.352.584,41;4.800.347,96;B+;B+;B+;B+;7,91;8,11;7,83;9,73
Campinorte;MRG PORANGATU;NORTE GOIANO;pequeno porte I;12071;12198;12321;12486;16.879,36;15.917,97;18.044,00;18.132,00;4.902.058,69;6.865.458,21;6.535.409,46;6.968.109,33;B;B;B+;B;7,19;7,31;7,63;7,93
Campo Alegre de Goiás;MRG CATALÃO;SUL GOIANO;pequeno porte I;6896;7024;7149;7437;45.049,87;55.960,20;52.685,00;55.469,00;5.888.851,16;7.691.953,50;6.216.302,56;7.316.729,27;B;B+;B+;B+;8,38;8,43;8,23;8,70
Campo Limpo de Goiás;MRG ANÁPOLIS;CENTRO GOIANO;pequeno porte I;7090;7219;7345;7636;11.855,39;11.314,24;12.673,00;13.283,00;3.087.083,72;3.601.196,62;3.485.387,81;5.216.301,7;-;-;B+;B;6,06;6,11;5,82;6,12
Campos Belos;MRG CHAPADA DOS VEADEIROS;NORTE GOIANO;pequeno porte I;19540;19665;19786;19764;12.615,95;12.562,82;13.221,00;13.598,00;10.564.254,52;13.124.130,24;14.718.544,6;15.381.962,91;-;B;B+;B;7,21;7,09;7,26;7,51
Campos Verdes;MRG PORANGATU;NORTE GOIANO;pequeno porte I;3870;3631;3399;2459;10.560,47;11.984,88;13.031,00;18.196,00;4.003.121,01;4.179.445,60;5.162.311,29;4.957.058,56;B+;C;B+;B+;7,55;7,76;7,93;6,63
Carmo do Rio Verde;MRG CERES;CENTRO GOIANO;pequeno porte I;9671;9767;9862;9976;19.032,45;25.795,29;22.915,00;25.025,00;4.770.158,00;6.485.895,11;4.823.406,92;5.228.012,69;-;A;A;B;7,36;7,67;7,98;7,20
Castelândia;MRG SUDOESTE DE GOIÁS;SUL GOIANO;pequeno porte I;3642;3626;3610;3464;18.425,54;23.482,92;26.897,00;29.264,00;3.067.614,35;2.680.748,59;3.177.673,78;3.694.938,34;B;C+;B+;B;7,06;8,11;8,95;9,09
Catalão;MRG CATALÃO;SUL GOIANO;grande porte;98737;100590;102393;106618;57.498,67;58.559,74;60.854,00;57.291,00;71.938.815,42;78.778.710,38;75.584.726,8;61.306.557,1;B;-;B+;B+;6,14;6,37;6,75;6,77
Caturaí;MRG ANÁPOLIS;CENTRO GOIANO;pequeno porte I;4977;5010;5041;5038;12.461,48;14.316,01;12.672,00;13.553,00;3.082.693,00;4.069.141,17;4.298.235;4.732.072,79;B+;-;A;B+;7,90;8,49;9,22;8,95
Cavalcante;MRG CHAPADA DOS VEADEIROS;NORTE GOIANO;pequeno porte I;9775;9803;9829;9693;25.575,13;25.303,89;24.807,00;26.122,00;6.613.281,02;8.854.190,29;6.712.385,93;7.884.701,42;B+;B;B;B;6,30;7,07;7,65;7,15
Ceres;MRG CERES;CENTRO GOIANO;pequeno porte II;21909;22034;22155;22074;21.729,53;22.670,01;23.981,00;24.894,00;37.279.900,93;40.538.968,34;39.173.553;39.609.388,7;B+;B+;B+;B+;9,05;9,02;8,86;8,23
Cezarina;MRG VALE DO RIO DOS BOIS;SUL GOIANO;pequeno porte I;8210;8299;8386;8507;32.444,81;32.385,23;30.743,00;33.748,00;5.420.101,13;5.789.677,15;5.966.687,6;5.313.786,8;B+;B+;B+;A;7,95;6,70;8,37;7,79
Chapadão do Céu;MRG SUDOESTE DE GOIÁS;SUL GOIANO;pequeno porte I;8589;8853;9110;9842;92.747,17;121.054,33;109.246,00;112.384,00;10.456.838,58;13.710.767,16;14.870.957,15;16.789.160,67;B;B;B+;B;8,72;8,15;9,20;8,72
Cidade Ocidental;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;médio porte;64229;65520;66777;69829;9.974,17;10.694,22;11.118,00;11.394,00;19.446.374,72;19.431.047,28;20.585.700,5;25.413.743,32;C;-;B+;B+;5,52;6,15;6,77;6,73
Cocalzinho de Goiás;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;pequeno porte II;19115;19352;19583;19971;14.955,49;14.789,79;15.380,00;16.327,00;10.022.701,14;11.374.991,32;12.871.118,2;10.692.123,29;-;-;B;B;7,03;7,29;7,41;7,23
Colinas do Sul;MRG CHAPADA DOS VEADEIROS;NORTE GOIANO;pequeno porte I;3551;3540;3529;3404;12.040,90;11.540,49;13.158,00;13.309,00;5.397.712,38;4.692.655,20;4.727.881,61;5.113.557,19;B+;C+;B;B;7,89;8,00;8,54;7,54
Córrego do Ouro;MRG IPORÁ;CENTRO GOIANO;pequeno porte I;2564;2539;2514;2364;17.818,60;17.697,49;18.238,00;19.360,00;2.590.976,52;3.203.004,43;3.455.225,17;4.119.371,74;B+;B;A;A;8,03;7,50;9,16;9,81
Corumbá de Goiás;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;pequeno porte I;10961;11024;11086;11050;13.231,23;12.933,88;14.239,00;15.791,00;5.165.528,57;7.253.568,87;9.017.260,6;7.268.478,33;-;B;B+;-;7,06;7,27;8,36;7,06
Corumbaíba;MRG CATALÃO;SUL GOIANO;pequeno porte I;9077;9206;9332;9574;50.746,29;48.718,78;62.960,00;61.515,00;6.746.254,20;7.348.210,71;7.456.218,26;9.817.768,32;A;B+;B;B+;8,75;8,29;8,40;8,71
Cristalina;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;médio porte;53300;54337;55347;57759;36.434,14;42.330,24;41.443,00;40.301,00;34.271.873,90;38.309.475,78;33.603.036,06;40.569.782,5;B;B+;B+;B+;6,18;6,76;6,72;7,01
Cristianópolis;MRG PIRES DO RIO;SUL GOIANO;pequeno porte I;3023;3026;3029;2968;21.289,61;22.427,18;23.799,00;24.729,00;2.684.017,78;3.255.732,07;3.124.961,99;3.239.545,18;-;-;B;B;8,52;8,71;8,32;7,86
Crixás;MRG SÃO MIGUEL DO ARAGUAIA;NOROESTE GOIANO;pequeno porte I;16695;16795;16893;16852;24.074,35;23.428,26;26.456,00;30.962,00;11.401.069,88;13.920.720,59;12.354.879,76;12.967.423,04;B;-;B;B+;7,98;8,36;8,68;8,34
Cromínia;MRG MEIA PONTE;SUL GOIANO;pequeno porte I;3616;3611;3606;3500;16.247,84;17.814,81;19.261,00;20.076,00;3.487.616,54;4.099.675,62;4.000.197,36;4.471.862,77;B;B;B+;-;8,00;7,59;9,15;9,29
Cumari;MRG CATALÃO;SUL GOIANO;pequeno porte I;2992;2983;2975;2871;20.779,77;20.105,80;20.133,00;21.094,00;2.516.531,37;2.808.090,97;3.510.763,37;4.162.129,06;C;B;A;B+;7,69;7,72;8,52;8,51
Damianópolis;MRG VÃO DO PARANÃ;LESTE GOIANO;pequeno porte I;3385;3387;3389;3315;8.252,89;9.047,60;9.414,00;10.181,00;2.805.642,22;3.003.981,40;3.273.319,35;3.684.868,84;-;-;A;-;8,27;8,14;9,02;8,82
Damolândia;MRG ANÁPOLIS;CENTRO GOIANO;pequeno porte I;2903;2919;2935;2923;12.451,26;12.583,33;13.325,00;13.597,00;2.663.035,02;4.246.815,40;2.695.932,5;3.486.454,37;B+;C;B+;B+;7,82;8,88;9,64;8,90
Davinópolis;MRG CATALÃO;SUL GOIANO;pequeno porte I;2126;2130;2133;2094;102.991,26;148.316,37;179.612,00;185.551,00;3.127.585,55;3.167.465,91;3.594.493,02;3.486.519,08;-;-;B;B+;7,12;8,40;8,00;7,79
Diorama;MRG ARAGARÇAS;NOROESTE GOIANO;pequeno porte I;2545;2546;2547;2488;16.984,07;19.679,01;19.636,00;22.147,00;2.529.817,58;4.671.485,08;4.395.642,29;3.570.745,21;B+;B;B+;B+;9,34;9,75;9,38;9,76
Divinópolis de Goiás;MRG VÃO DO PARANÃ;LESTE GOIANO;pequeno porte I;5020;5007;4995;4830;11.524,61;11.745,90;12.108,00;16.911,00;4.090.490,19;3.748.299,85;4.304.208,99;4.473.438,44;B+;B+;B+;B;6,91;8,20;8,87;8,49
Doverlândia;MRG SUDOESTE DE GOIÁS;SUL GOIANO;pequeno porte I;7842;7795;7750;7398;24.339,84;26.788,69;26.697,00;49.081,00;6.044.183,01;7.926.073,78;5.897.994,1;6.682.212,47;A;B;B;B;7,64;8,27;8,71;9,11
Edealina;MRG VALE DO RIO DOS BOIS;SUL GOIANO;pequeno porte I;3814;3811;3809;3710;50.144,57;63.109,02;70.265,00;34.118,00;4.406.937,35;4.449.566,05;4.701.395,37;4.591.782,87;B+;B+;B+;A;9,37;8,66;8,93;8,70
Edéia;MRG VALE DO RIO DOS BOIS;SUL GOIANO;pequeno porte I;12047;12140;12231;12276;43.531,12;58.818,79;59.116,00;225.444,00;7.928.210,79;9.257.973,42;11.005.753,78;12.080.530,21;B+;A;B+;B+;7,56;8,74;8,53;8,03
Estrela do Norte;MRG PORANGATU;NORTE GOIANO;pequeno porte I;3386;3382;3379;3286;13.325,70;13.092,37;14.590,00;4.250,00;3.248.632,05;3.759.479,14;3.383.795,98;3.247.342,63;B;B+;B;B+;6,44;8,45;8,46;8,54
Faina;MRG RIO VERMELHO;NOROESTE GOIANO;pequeno porte I;7004;6975;6947;6678;15.188,20;15.673,49;15.595,00;32.757,00;4.324.784,55;5.361.212,33;5.510.808,36;5.459.991,85;B+;B+;A;B;7,89;8,35;8,44;7,81
Fazenda Nova;MRG IPORÁ;CENTRO GOIANO;pequeno porte I;6181;6125;6070;5722;15.020,76;16.436,75;16.164,00;15.218,00;3.304.152,03;3.972.106,86;3.740.874,6;4.291.854,99;-;C+;A;B+;8,06;7,79;8,14;8,28
Firminópolis;MRG ANICUNS;CENTRO GOIANO;pequeno porte I;12640;12783;12923;13131;11.464,65;12.227,44;12.889,00;30.679,00;6.575.906,89;6.558.230,87;6.947.955,76;6.860.443,81;-;A;A;A;7,70;8,11;7,81;7,84
Flores de Goiás;MRG VÃO DO PARANÃ;LESTE GOIANO;pequeno porte I;14372;14747;15111;16100;9.122,79;9.487,18;9.092,00;10.931,00;5.144.955,17;5.579.143,56;5.757.099,95;6.784.359,57;-;B;-;C+;5,83;6,49;7,09;6,66
Formosa;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;grande porte;112236;114036;115789;119506;17.239,25;18.456,69;19.919,00;144.936,00;49.072.177,51;56.911.887,52;58.382.880,47;54.819.657,32;-;B;B;B+;6,21;6,67;6,38;6,08
Formoso;MRG PORANGATU;NORTE GOIANO;pequeno porte I;4726;4674;4623;4325;12.293,63;12.971,17;14.083,00;550,00;3.744.220,61;4.761.713,26;3.921.812,25;5.040.671,5;-;B+;B+;B+;7,64;7,59;8,98;8,35
Gameleira de Goiás;MRG PIRES DO RIO;SUL GOIANO;pequeno porte I;3664;3721;3777;3753;27.581,02;34.753,16;36.419,00;35.453,00;2.648.606,08;4.329.419,56;3.462.590,11;5.391.200,03;A;B+;C+;B+;6,47;7,09;7,30;6,57
Goianápolis;MRG GOIÂNIA;CENTRO GOIANO;pequeno porte I;11024;11460;11471;11239;13.820,79;14.700,31;15.799,00;18.677,00;6.373.704,99;7.296.988,06;6.888.254,15;6.704.990,58;B;B+;B;B+;8,36;7,39;8,18;7,74
Goiandira;MRG CATALÃO;SUL GOIANO;pequeno porte I;5549;5578;5605;5574;17.727,65;20.122,06;20.866,00;23.327,00;4.048.107,11;4.459.302,03;3.761.084,15;4.024.213,4;-;B+;A;A;8,30;7,95;9,40;9,33
Goianésia;MRG CERES;CENTRO GOIANO;médio porte;65767;66649;67507;69072;16.703,00;18.620,35;19.656,00;20.109,00;36.303.476,87;40.757.295,91;49.916.777,8;43.515.858,24;-;-;B+;B+;7,60;8,00;8,01;8,27
Goiânia;MRG GOIÂNIA;CENTRO GOIANO;metrópole;1430697;1448639;1466105;1495705;32.593,34;32.209,01;33.438,00;33.004,00;1.157.674.116,10;1.279.721.584,81;1.298.837.521,81;1.170.289.208,13;B;B+;B;B+;6,90;6,71;6,44;6,00
Goianira;MRG GOIÂNIA;CENTRO GOIANO;médio porte;39484;40338;41169;43260;17.258,08;19.640,77;21.717,00;21.705,00;16.236.467,96;18.505.014,26;18.169.067,26;20.379.906,5;A;B+;B+;B+;7,13;7,45;7,73;7,86
Goiás;MRG RIO VERMELHO;NOROESTE GOIANO;pequeno porte II;24439;24269;24103;22916;16.001,94;16.933,45;18.839,00;20.137,00;22.580.713,49;25.442.527,41;26.642.787,37;22.509.923,6;B+;-;B+;B+;8,90;8,45;8,13;8,30
Goiatuba;MRG MEIA PONTE;SUL GOIANO;pequeno porte II;34043;34179;34312;33986;39.329,55;43.031,23;44.855,00;45.435,00;19.766.424,08;23.531.822,86;23.081.390,59;27.057.834,64;-;B;B+;B;7,83;7,69;8,70;8,84
Gouvelândia;MRG QUIRINÓPOLIS;SUL GOIANO;pequeno porte I;5499;5578;5656;5806;33.548,36;33.660,44;32.955,00;30.892,00;3.884.147,55;4.149.664,11;3.745.301,3;4.905.360,79;C+;B+;B+;B+;6,29;6,62;6,17;7,03
Guapó;MRG GOIÂNIA;CENTRO GOIANO;pequeno porte I;14441;14462;14482;14211;11.986,27;11.896,65;13.662,00;14.366,00;7.438.346,31;9.470.360,31;7.464.997,73;8.237.541,43;B+;C;B+;B;6,52;7,08;7,27;6,98
Guaraíta;MRG CERES;CENTRO GOIANO;pequeno porte I;2268;2237;2206;2041;12.795,19;13.576,25;14.605,00;16.237,00;1.961.522,57;2.253.327,35;2.454.176,66;3.143.132,28;-;-;-;-;5,78;7,62;7,67;8,20
Guarani de Goiás;MRG VÃO DO PARANÃ;LESTE GOIANO;pequeno porte I;4204;4174;4145;3940;10.626,74;10.616,44;12.531,00;13.511,00;3.183.567,39;3.490.798,43;3.729.883,88;3.773.359,17;B+;B;B+;B+;6,22;7,04;7,53;6,52
Guarinos;MRG CERES;CENTRO GOIANO;pequeno porte I;2134;2093;2052;1852;15.878,59;21.831,78;26.420,00;31.723,00;2.360.323,63;2.924.060,36;2.594.431,38;2.994.007,95;-;-;B+;B+;6,08;7,16;7,51;7,42
Heitoraí;MRG ANÁPOLIS;CENTRO GOIANO;pequeno porte I;3731;3744;3757;3714;11.183,25;12.140,45;13.736,00;15.197,00;2.795.105,38;3.659.430,82;4.647.241,19;2.298.800,85;-;B+;-;B+;8,16;8,34;9,03;9,42
Hidrolândia;MRG GOIÂNIA;CENTRO GOIANO;pequeno porte II;19761;20121;20472;21278;30.135,38;36.399,81;54.741,00;53.847,00;12.362.720,14;14.611.405,44;14.434.328,48;14.638.183,99;A;A;A;C+;7,37;7,57;7,67;7,84
Hidrolina;MRG CERES;CENTRO GOIANO;pequeno porte I;3927;3889;3852;3622;13.613,18;14.155,50;15.295,00;15.437,00;4.434.685,96;4.158.384,20;3.643.632,44;3.535.358,68;A;B+;A;B+;6,48;8,61;8,64;8,30
Iaciara;MRG VÃO DO PARANÃ;LESTE GOIANO;pequeno porte I;13423;13551;13675;13808;10.095,83;10.710,49;11.613,00;11.694,00;5.791.476,89;6.458.718,86;6.076.105,55;6.958.986,5;B;-;C+;B;5,80;6,98;6,17;6,52
Inaciolândia;MRG MEIA PONTE;SUL GOIANO;pequeno porte I;6066;6107;6148;6152;29.597,58;34.726,83;37.173,00;34.104,00;3.730.435,53;3.596.320,50;4.824.790,78;5.335.585,31;B;C;B;B;8,13;7,57;8,78;8,73
Indiara;MRG VALE DO RIO DOS BOIS;SUL GOIANO;pequeno porte I;14895;15056;15213;15431;20.637,62;21.966,96;20.876,00;20.639,00;8.708.212,12;8.380.847,84;8.565.663,83;10.047.770,83;-;B+;B+;B+;7,21;6,38;7,32;7,40
Inhumas;MRG ANÁPOLIS;CENTRO GOIANO;médio porte;51543;51932;52311;52465;17.855,03;18.933,26;21.386,00;21.657,00;26.871.517,96;27.739.416,48;25.084.117,03;31.616.998,91;A;B+;B+;A;7,94;7,54;7,86;8,24
Ipameri;MRG CATALÃO;SUL GOIANO;pequeno porte II;26373;26563;26747;26792;33.164,46;44.237,45;50.745,00;55.481,00;14.367.114,14;17.859.940,75;19.159.355,25;19.332.295,33;-;-;A;B+;8,53;8,58;8,97;8,41
Ipiranga de Goiás;MRG CERES;CENTRO GOIANO;pequeno porte I;2940;2944;2948;2893;13.707,85;18.284,61;17.015,00;18.460,00;2.215.818,49;2.757.033,45;2.320.118,34;2.534.678,7;B+;B;A;A;3,73;5,61;8,24;7,69
Iporá;MRG IPORÁ;CENTRO GOIANO;pequeno porte II;32194;32218;32242;31563;17.465,73;18.040,93;20.376,00;20.854,00;21.584.577,88;26.241.294,35;22.193.653,12;22.535.059,89;B+;A;B+;B+;7,82;7,37;8,43;7,40
Israelândia;MRG IPORÁ;CENTRO GOIANO;pequeno porte I;2923;2916;2910;2815;15.397,71;15.650,05;16.591,00;17.254,00;2.622.835,61;2.750.035,27;2.741.826,24;3.011.805,26;B+;A;B+;B+;7,66;7,85;9,07;7,90
Itaberaí;MRG ANÁPOLIS;CENTRO GOIANO;pequeno porte II;39629;40259;40872;42163;25.706,02;26.430,06;30.922,00;30.571,00;20.275.784,78;23.875.944,70;20.857.006,07;20.663.508,66;A;B+;B+;B+;6,83;7,44;7,34;6,40
Itaguari;MRG ANÁPOLIS;CENTRO GOIANO;pequeno porte I;4703;4717;4730;4668;11.946,04;12.565,32;13.874,00;15.084,00;3.318.278,20;3.661.965,98;3.872.034,45;4.067.683,01;A;-;-;A;6,72;7,13;7,31;7,15
Itaguaru;MRG ANÁPOLIS;CENTRO GOIANO;pequeno porte I;5488;5472;5456;5269;11.784,22;12.432,75;13.544,00;14.624,00;3.395.382,17;3.735.159,05;3.914.261,24;4.234.094,77;B;B+;A;B+;7,61;8,41;9,00;9,50
Itajá;MRG QUIRINÓPOLIS;SUL GOIANO;pequeno porte I;4961;4918;4876;4605;19.571,00;20.693,37;21.392,00;21.534,00;3.728.770,35;4.502.112,46;5.044.043,06;5.805.403,44;C+;C+;B+;B;7,28;6,63;8,03;9,54
Itapaci;MRG CERES;CENTRO GOIANO;pequeno porte II;20945;21323;21691;22533;14.546,51;15.213,50;15.270,00;15.211,00;7.988.120,83;9.087.745,64;11.318.307,78;12.634.058,29;-;C+;B+;B+;7,92;7,34;8,05;7,79
Itapirapuã;MRG RIO VERMELHO;NOROESTE GOIANO;pequeno porte I;6776;6541;6312;5316;19.941,75;21.765,10;23.898,00;26.910,00;4.924.984,95;5.027.433,20;5.541.822,73;6.559.152,68;A;B+;B;B+;7,59;8,07;9,10;7,85
Itapuranga;MRG CERES;CENTRO GOIANO;pequeno porte II;26639;26612;26586;25856;13.783,33;14.523,96;15.420,00;16.339,00;12.701.697,64;14.751.497,16;15.141.424,01;16.769.120,92;B+;-;B+;-;8,13;8,84;8,69;9,15
Itarumã;MRG QUIRINÓPOLIS;SUL GOIANO;pequeno porte I;6853;6927;6998;7097;30.531,70;32.934,50;34.910,00;34.553,00;6.788.600,52;6.612.041,51;6.683.094,77;7.096.800,37;-;B;B+;A;8,12;8,63;8,49;9,14
Itauçu;MRG ANÁPOLIS;CENTRO GOIANO;pequeno porte I;8957;8988;9019;8916;15.682,49;14.219,45;15.696,00;15.978,00;4.518.898,66;4.919.688,40;4.757.148,2;6.022.090,71;-;-;-;B+;8,00;7,97;8,69;8,15
Itumbiara;MRG MEIA PONTE;SUL GOIANO;grande porte;100548;101544;102513;103652;39.500,09;40.477,15;40.430,00;40.400,00;58.428.537,49;69.492.458,44;64.127.156,52;65.403.778,26;B;-;B;B+;6,85;5,99;6,24;6,34
Ivolândia;MRG IPORÁ;CENTRO GOIANO;pequeno porte I;2601;2577;2554;2406;26.285,29;32.392,68;38.247,00;35.281,00;3.278.271,46;3.626.380,89;4.532.777,15;3.949.165,5;B;B;B+;B+;8,85;9,20;9,33;9,59
Jandaia;MRG VALE DO RIO DOS BOIS;SUL GOIANO;pequeno porte I;6272;6263;6254;6073;30.535,57;41.228,74;36.041,00;40.354,00;4.862.137,52;4.886.442,23;5.315.911,94;6.180.926,41;B+;B;B+;A;7,21;7,58;8,84;8,15
Jaraguá;MRG ANÁPOLIS;CENTRO GOIANO;pequeno porte II;46790;47513;48216;49667;13.833,61;13.390,27;14.331,00;14.196,00;16.491.358,73;18.601.218,00;16.855.317,72;16.553.749,93;B;B;B;B;6,75;6,46;6,90;7,06
Jataí;MRG SUDOESTE DE GOIÁS;SUL GOIANO;grande porte;95998;97077;98128;99674;39.987,93;41.620,42;45.964,00;46.149,00;81.384.583,43;92.755.676,83;92.701.140,65;83.394.628,12;B+;A;A;A;6,98;7,59;7,41;7,31
Jaupaci;MRG IPORÁ;CENTRO GOIANO;pequeno porte I;3024;3014;3004;2898;14.390,66;15.168,18;16.484,00;17.006,00;2.824.313,29;3.053.226,33;3.180.528,01;2.829.978,25;B;B;B;B+;8,02;7,95;8,55;8,32
Jesúpolis;MRG ANÁPOLIS;CENTRO GOIANO;pequeno porte I;2444;2460;2476;2474;10.291,04;10.585,94;11.269,00;11.768,00;1.943.629,32;2.475.965,69;2.143.419,9;2.179.067,52;B+;B+;B+;B+;6,25;6,98;7,24;7,86
Joviânia;MRG MEIA PONTE;SUL GOIANO;pequeno porte I;7422;7445;7468;7372;23.369,87;28.443,11;29.299,00;28.515,00;4.742.117,46;5.801.835,87;6.400.576,99;6.221.245,15;B+;-;B;B;7,68;7,64;8,45;8,25
Jussara;MRG RIO VERMELHO;NOROESTE GOIANO;pequeno porte I;19346;19292;19239;18587;19.859,07;22.218,87;22.889,00;23.959,00;10.362.103,75;12.043.565,65;12.459.937,89;12.849.765,33;B+;B;A;A;7,15;7,70;7,39;7,10
Lagoa Santa;MRG QUIRINÓPOLIS;SUL GOIANO;pequeno porte I;1435;1463;1490;1555;25.728,94;26.050,84;26.238,00;25.332,00;2.196.966,38;2.251.301,32;3.410.120,92;3.003.241,83;-;-;A;B+;7,71;7,27;7,72;5,76
Leopoldo de Bulhões;MRG GOIÂNIA;CENTRO GOIANO;pequeno porte I;8167;7758;7773;7643;19.886,99;23.784,36;26.440,00;29.507,00;3.714.956,20;3.929.176,19;4.599.957,75;5.460.644,49;-;B+;B+;B+;7,91;7,25;7,40;7,18
Luziânia;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;grande porte;194039;196864;199615;205023;17.284,12;17.471,11;16.989,00;17.452,00;64.279.552,33;71.662.778,52;77.543.892,67;74.945.928,83;B+;B;B+;B+;4,96;4,61;4,55;4,25
Mairipotaba;MRG MEIA PONTE;SUL GOIANO;pequeno porte I;2432;2432;2432;2373;18.703,85;23.085,43;19.605,00;21.190,00;2.467.377,15;2.461.346,94;2.458.196,89;2.975.845,04;A;B;B+;B+;8,77;9,28;8,88;8,01
Mambaí;MRG VÃO DO PARANÃ;LESTE GOIANO;pequeno porte I;7945;8106;8271;8680;8.884,83;9.424,74;9.342,00;9.382,00;3.833.976,50;4.138.583,95;3.273.319,35;5.880.640,49;-;-;B;-;7,13;7,36;7,48;7,32
Mara Rosa;MRG PORANGATU;NORTE GOIANO;pequeno porte I;10414;10320;10228;9646;16.715,77;17.278,33;19.305,00;19.956,00;7.178.651,87;4.910.771,30;6.256.060,1;7.801.528,7;C+;B;B+;B;6,33;6,77;7,83;7,68
Marzagão;MRG MEIA PONTE;SUL GOIANO;pequeno porte I;2198;2212;2226;2223;15.965,81;17.083,52;19.598,00;18.871,00;2.179.223,97;1.982.039,00;2.543.213,32;3.491.324,58;B+;B+;-;B+;8,47;8,99;8,80;8,85
Matrinchã;MRG RIO VERMELHO;NOROESTE GOIANO;pequeno porte I;4500;4495;4490;4366;19.261,44;21.738,00;19.806,00;22.460,00;3.881.996,19;4.620.242,05;3.956.958,31;4.517.718,11;-;B+;B;B+;8,30;8,31;8,86;9,48
