Localidade;Microrregiões Geográficas;Mesorregiões Geográficas;Porte;População 2015;População 2016;População 2017;População 2018;PIB 2015;PIB 2016;PIB 2017;PIB 2018;Desp. Saúde 2015;Desp. Saúde 2016;Desp. Saúde 2017;Desp. Saúde 2018;IEGM 2015;IEGM 2016;IEGM 2017;IEGM 2018;IDM 2014;IDM 2016;IDM 2018;IDM 2020
Santa Terezinha de Goiás;MRG PORANGATU;NORTE GOIANO;pequeno porte I;9876;9747;9622;8931;12.595,82;13.239,96;13.600,00;14.529,00;4.307.176,47;4.552.909,12;5.001.294,14;6.152.676,99;B+;-;B+;-;6,64;6,48;6,56;7,35
Santo Antônio da Barra;MRG SUDOESTE DE GOIÁS;SUL GOIANO;pequeno porte I;4714;4747;4780;4787;30.985,59;37.196,51;38.355,00;47.390,00;3.841.925,78;4.073.400,37;4.472.258,33;4.073.568,51;B+;B+;B+;B+;5,92;6,55;7,58;7,15
Santo Antônio de Goiás;MRG GOIÂNIA;CENTRO GOIANO;pequeno porte I;5527;5659;5787;6123;23.562,76;22.391,02;22.647,00;21.480,00;3.670.730,82;4.291.936,32;4.728.966,45;4.233.314,21;-;B+;B+;A;7,21;8,18;8,81;8,55
Santo Antônio do Descoberto;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;médio porte;69988;70950;71887;73636;8.082,86;8.320,50;9.088,00;9.129,00;20.191.395,68;16.797.367,04;18.249.612,7;24.243.677,36;-;C;B;C+;5,90;5,64;5,40;5,53
São Domingos;MRG VÃO DO PARANÃ;LESTE GOIANO;pequeno porte I;12307;12448;12585;12791;11.689,99;11.816,12;11.756,00;12.550,00;6.190.927,56;6.344.662,23;4.658.375,43;6.506.174,02;-;-;B+;B;6,13;5,77;6,70;6,99
São Francisco de Goiás;MRG ANÁPOLIS;CENTRO GOIANO;pequeno porte I;6341;6354;6366;6260;14.459,59;14.625,31;16.119,00;16.380,00;2.965.351,22;3.178.329,88;3.402.923,45;3.984.070,63;C+;-;B+;B;6,57;6,50;7,10;6,62
São João d'Aliança;MRG CHAPADA DOS VEADEIROS;NORTE GOIANO;pequeno porte I;12070;12360;12643;13387;18.981,05;23.186,59;23.654,00;21.887,00;4.870.809,27;6.575.952,94;7.682.862,92;7.569.152,85;B;B;B;C+;7,55;7,52;7,36;7,94
São João da Paraúna;MRG VALE DO RIO DOS BOIS;SUL GOIANO;pequeno porte I;1597;1571;1547;1417;26.274,10;29.900,52;31.950,00;36.905,00;2.379.046,05;2.230.517,90;2.603.322,31;2.181.511,32;-;A;A;B+;6,91;7,75;7,76;7,77
São Luis de Montes Belos;MRG ANICUNS;CENTRO GOIANO;pequeno porte II;32491;32808;33118;33470;22.197,47;23.906,00;25.078,00;25.256,00;18.865.188,80;21.367.562,33;21.399.620,53;24.805.103,93;A;B+;B;B+;7,87;6,91;8,03;8,67
São Luiz do Norte;MRG CERES;CENTRO GOIANO;pequeno porte I;4980;5026;5071;5117;15.568,39;18.096,49;21.406,00;23.726,00;4.086.773,65;4.351.676,61;4.876.969,64;5.044.520,01;A;A;A;A;7,93;6,95;8,13;6,96
São Miguel do Araguaia;MRG SÃO MIGUEL DO ARAGUAIA;NOROESTE GOIANO;pequeno porte II;22728;22706;22684;22067;19.362,86;22.635,52;21.279,00;21.981,00;16.109.993,55;15.149.336,09;16.090.740,09;15.018.591,28;B+;-;-;B;7,31;6,93;8,36;7,34
São Miguel do Passa Quatro;MRG PIRES DO RIO;SUL GOIANO;pequeno porte I;3987;4013;4037;4032;26.882,76;32.025,88;33.604,00;36.170,00;4.103.132,67;3.219.797,59;4.008.221,26;3.491.758,01;B+;B;A;A;6,31;8,04;8,42;7,05
São Patrício;MRG CERES;CENTRO GOIANO;pequeno porte I;2062;2066;2070;2035;15.973,56;17.277,84;16.816,00;17.267,00;2.436.308,82;2.893.277,70;2.454.333,09;2.826.438,12;B+;-;B+;A;7,35;7,33;7,22;5,97
São Simão;MRG QUIRINÓPOLIS;SUL GOIANO;pequeno porte I;19110;19407;19697;20297;162.565,85;121.806,46;91.021,00;38.132,00;29.301.450,08;25.530.835,50;22.513.010,34;31.681.925,74;B;B;B;B;7,09;6,88;8,30;8,46
Senador Canedo;MRG GOIÂNIA;CENTRO GOIANO;grande porte;100367;102947;105459;112224;26.766,65;33.136,31;32.067,00;33.324,00;77.208.781,12;84.761.270,14;80.935.750,23;95.131.364,94;-;B+;B+;B+;7,58;7,22;7,45;7,10
Serranópolis;MRG SUDOESTE DE GOIÁS;SUL GOIANO;pequeno porte I;8147;8236;8323;8445;39.762,26;52.079,49;46.076,00;48.460,00;5.192.959,98;5.585.410,97;6.309.247,81;6.027.174,11;B;B+;C+;B;7,13;7,02;8,05;8,53
Silvânia;MRG PIRES DO RIO;SUL GOIANO;pequeno porte II;20233;20357;20478;20573;26.230,95;30.457,89;33.107,00;35.837,00;15.486.884,28;13.832.114,39;13.690.078,57;14.324.674,54;B;-;-;A;7,51;7,33;8,24;8,51
Simolândia;MRG VÃO DO PARANÃ;LESTE GOIANO;pequeno porte I;6834;6863;6891;6832;12.610,11;13.216,64;14.273,00;15.145,00;3.656.109,94;4.100.798,65;4.307.469,21;5.272.117,17;C+;C;C+;-;6,57;6,65;6,94;8,16
Sítio d'Abadia;MRG VÃO DO PARANÃ;LESTE GOIANO;pequeno porte I;2970;2984;2998;2977;12.768,68;12.330,50;12.984,00;16.273,00;2.468.634,40;2.519.256,20;2.745.754,18;3.271.825,54;-;C+;B;B+;7,65;7,18;7,80;7,94
Taquaral de Goiás;MRG ANÁPOLIS;CENTRO GOIANO;pequeno porte I;3626;3625;3625;3537;14.844,74;15.609,85;16.884,00;18.072,00;2.966.117,30;2.930.837,74;3.455.023,56;4.410.837,26;C+;B+;B+;A;8,69;7,52;8,98;8,64
Teresina de Goiás;MRG CHAPADA DOS VEADEIROS;NORTE GOIANO;pequeno porte I;3290;3327;3363;3416;8.665,10;8.934,51;9.534,00;9.502,00;2.966.382,70;3.142.776,27;3.651.642,02;3.983.438,16;B;B;B;B;6,88;7,02;7,17;7,24
Terezópolis de Goiás;MRG GOIÂNIA;CENTRO GOIANO;pequeno porte I;7389;7513;7634;7897;23.908,32;24.369,39;24.627,00;25.325,00;3.705.866,89;3.622.377,68;4.401.554,1;4.582.419,8;B+;-;A;A;5,71;6,42;6,29;6,94
Três Ranchos;MRG CATALÃO;SUL GOIANO;pequeno porte I;2898;2899;2900;2837;14.528,20;15.079,68;16.723,00;17.453,00;2.668.666,94;3.226.148,23;3.305.071,73;3.903.690,34;B+;B;B;B+;7,11;7,40;7,95;8,05
Trindade;MRG GOIÂNIA;CENTRO GOIANO;grande porte;117454;119385;121266;125328;16.139,79;16.276,89;17.025,00;17.166,00;31.893.009,54;40.397.637,65;45.854.599,08;55.503.333,77;B+;A;A;A;7,09;7,42;7,73;7,76
Trombas;MRG PORANGATU;NORTE GOIANO;pequeno porte I;3562;3567;3571;3501;12.188,49;12.673,01;14.843,00;14.780,00;2.654.917,75;3.482.738,05;2.727.855,46;3.799.422,62;B+;B+;A;A;8,51;8,09;8,68;7,79
Turvânia;MRG ANICUNS;CENTRO GOIANO;pequeno porte I;4857;4837;4818;4633;17.388,68;18.252,03;17.118,00;18.364,00;4.156.169,04;4.463.933,53;4.112.232,86;4.610.713,82;B+;A;A;B+;8,28;8,90;8,26;8,71
Turvelândia;MRG VALE DO RIO DOS BOIS;SUL GOIANO;pequeno porte I;4904;4978;5050;5195;54.995,33;81.567,20;77.388,00;67.650,00;5.040.953,95;5.410.990,98;5.734.707;5.827.594,85;-;-;A;B+;6,01;7,14;8,34;8,42
Uirapuru;MRG SÃO MIGUEL DO ARAGUAIA;NOROESTE GOIANO;pequeno porte I;2973;2967;2961;2868;13.876,25;14.815,38;14.982,00;15.234,00;2.489.110,80;2.562.968,33;2.674.203,06;2.868.907,47;B+;-;B;B;5,63;7,37;6,85;6,27
Uruaçu;MRG PORANGATU;NORTE GOIANO;pequeno porte II;39483;39787;40082;40217;18.006,68;18.774,45;20.084,00;21.020,00;21.834.103,64;25.237.503,77;26.792.580,65;24.606.375,99;B+;B;B;B+;8,05;8,04;7,90;8,37
Uruana;MRG CERES;CENTRO GOIANO;pequeno porte I;14190;14193;14195;13868;12.762,17;14.343,91;15.017,00;15.277,00;5.270.007,39;6.589.020,90;6.861.598,94;8.539.636,3;B+;-;A;B+;7,45;6,95;8,32;7,62
Urutaí;MRG PIRES DO RIO;SUL GOIANO;pequeno porte I;3153;3154;3154;3078;27.304,43;26.598,50;26.742,00;28.373,00;2.479.368,81;3.151.760,84;2.888.923,49;3.450.933,42;B+;B+;A;A;5,61;6,63;6,67;7,28
Valparaíso de Goiás;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;grande porte;153255;156419;159500;164723;14.062,61;14.699,68;15.627,00;15.539,00;48.976.923,94;56.909.292,46;51.866.317,31;60.782.649,36;-;C;B+;B;5,41;5,53;5,49;5,63
Varjão;MRG VALE DO RIO DOS BOIS;SUL GOIANO;pequeno porte I;3827;3842;3856;3816;14.574,68;15.139,67;16.546,00;17.334,00;2.884.115,73;3.336.379,86;3.277.480,29;3.600.383,39;-;B;A;A;6,63;6,53;6,32;5,07
Vianópolis;MRG PIRES DO RIO;SUL GOIANO;pequeno porte I;13456;13567;13675;13746;23.212,54;27.534,21;28.942,00;32.025,00;6.786.199,75;8.300.474,74;8.175.624,08;9.007.210,65;B+;B+;B+;A;6,78;7,22;8,47;8,61
Vicentinópolis;MRG MEIA PONTE;SUL GOIANO;pequeno porte I;8171;8286;8397;8611;39.444,18;41.609,86;41.773,00;37.436,00;5.767.662,55;6.250.266,80;6.727.503,67;8.380.515,21;B;B;A;B+;7,55;7,77;7,89;7,55
Vila Boa;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;pequeno porte I;5495;5615;5731;6026;20.241,84;23.565,00;23.992,00;17.160,00;3.482.895,43;3.019.283,08;3.695.807,03;4.371.941,8;-;C+;C+;-;7,50;7,94;7,27;7,54
Vila Propício;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;pequeno porte I;5578;5635;5690;5758;35.664,26;37.431,13;32.017,00;28.444,00;3.982.907,18;4.289.769,15;3.929.063,3;4.689.843,49;B+;-;B;B+;5,77;5,75;7,24;5,67
