Localidade;Microrregiões Geográficas;Mesorregiões Geográficas;População;porte;IDHM;Índice de Gini;Desp. Saúde 2018;Desp. Saúde Per Capta 2018;PIB médio de 2014 a 2020;PIB 2014;PIB 2016;PIB 2018;PIB 2020;IDM 2014;IDM 2016;IDM 2018;IDM 2020;IEGM 2015;IEGM 2016;IEGM 2017;IEGM 2018
Anhanguera;MRG CATALÃO;SUL GOIANO;924;pequeno porte I;0,725;0,39;2.024.901,73;2.191,45;15.791,82;13.871,53;14.291,76;15.726,00;19.278,00;7,27;6,29;7,90;8,08;C+;C;B;B+
Anicuns;MRG ANICUNS;CENTRO GOIANO;18.503;pequeno porte I;0,714;0,48;11.733.201,68;634,12;18.648,30;17.168,11;18.907,07;17.821,00;20.697,00;6,79;5,87;6,61;7,49;-;-;B+;B+
Aparecida de Goiânia;MRG GOIÂNIA;CENTRO GOIANO;527.796;grande porte;0,718;0,49;349.054.834,32;661,34;23.491,32;22.837,32;22.514,94;23.440,00;25.173,00;5,62;5,90;5,77;5,54;B+;B+;B+;B+
Aparecida do Rio Doce;MRG SUDOESTE DE GOIÁS;SUL GOIANO;2.907;pequeno porte I;0,693;0,52;4.144.152,29;1.425,58;30.979,45;26.726,42;29.396,37;30.113,00;37.682,00;6,42;7,35;7,62;7,62;-;B;A;B+
Aporé;MRG SUDOESTE DE GOIÁS;SUL GOIANO;4.325;pequeno porte I;0,693;0,46;6.818.042,33;1.576,43;67.129,08;45.005,11;73.609,20;76.880,00;73.022,00;8,42;8,61;7,70;8,02;B;C+;B+;B+
Araçu;MRG ANÁPOLIS;CENTRO GOIANO;3.799;pequeno porte I;0,693;0,54;4.686.885,91;1.233,72;15.178,09;12.293,24;13.826,10;15.008,00;19.585,00;8,22;8,28;8,01;7,12;B;B+;B+;B
Aragarças;MRG ARAGARÇAS;NOROESTE GOIANO;18.390;pequeno porte I;0,732;0,46;11.882.715,33;646,15;11.477,25;10.176,35;10.897,66;12.267,00;12.568,00;7,45;7,80;7,70;8,16;B+;C;B;B
Aragoiânia;MRG GOIÂNIA;CENTRO GOIANO;11.890;pequeno porte I;0,684;0,47;6.665.873,75;560,63;11.288,82;10.007,75;10.318,54;10.709,00;14.120,00;7,50;7,44;8,07;7,36;-;B;B;B
Araguapaz;MRG RIO VERMELHO;NOROESTE GOIANO;7.153;pequeno porte I;0,674;0,54;6.333.347,36;885,41;15.595,44;13.128,99;14.622,77;15.546,00;19.084,00;7,46;7,51;7,87;7,17;A;A;B+;A
Arenópolis;MRG ARAGARÇAS;NOROESTE GOIANO;2.946;pequeno porte I;0,687;0,51;3.783.562,27;1.284,30;47.314,20;35.466,32;30.767,47;52.960,00;70.063,00;9,00;9,28;8,72;8,64;-;C+;C+;-
Aruanã;MRG RIO VERMELHO;NOROESTE GOIANO;8.300;pequeno porte I;0,675;0,52;6.766.534,05;815,25;20.149,83;16.784,43;18.184,90;22.991,00;22.639,00;7,94;7,39;6,80;6,65;B+;B+;A;A
Aurilândia;MRG ANICUNS;CENTRO GOIANO;3.284;pequeno porte I;0,700;0,44;3.457.793,37;1.052,92;18.219,70;15.196,01;16.113,79;17.869,00;23.700,00;6,73;7,41;7,42;6,80;B+;B+;A;-
Avelinópolis;MRG ANICUNS;CENTRO GOIANO;2.868;pequeno porte I;0,660;0,59;2.810.434,52;979,93;20.057,62;19.133,13;18.425,35;18.325,00;24.347,00;8,76;9,18;8,70;8,79;A;B;B+;B+
Baliza;MRG ARAGARÇAS;NOROESTE GOIANO;3.351;pequeno porte I;0,655;0,58;3.949.046,42;1.178,47;15.830,44;13.901,33;15.828,43;15.566,00;18.026,00;5,59;5,37;5,55;7,11;B;B;B+;B
Barro Alto;MRG CERES;CENTRO GOIANO;10.371;pequeno porte I;0,742;0,45;11.312.897,48;1.090,82;88.029,88;56.628,81;77.671,72;84.166,00;133.653,00;7,92;7,76;7,84;7,24;B+;B;B+;B
Bela Vista de Goiás;MRG GOIÂNIA;CENTRO GOIANO;34.445;pequeno porte II;0,716;0,52;21.810.073,52;633,19;33.566,63;29.000,57;28.950,93;32.976,00;43.339,00;8,26;7,46;7,93;7,09;B+;B;B+;B+
Bom Jardim de Goiás;MRG ARAGARÇAS;NOROESTE GOIANO;7.826;pequeno porte I;0,670;0,50;5.091.756,82;650,62;17.893,71;15.322,58;16.231,26;19.075,00;20.946,00;7,65;8,41;7,67;8,07;B+;B+;A;B+
Bom Jesus de Goiás;MRG MEIA PONTE;SUL GOIANO;23.958;pequeno porte II;0,701;0,51;12.053.071,80;503,09;31.018,82;25.161,74;32.368,53;30.150,00;36.395,00;6,66;6,84;7,32;7,73;B;B;B;B
Bonfinópolis;MRG GOIÂNIA;CENTRO GOIANO;10.296;pequeno porte I;0,683;0,45;5.388.128,03;523,32;9.100,15;8.426,65;8.096,93;9.178,00;10.699,00;8,22;7,18;7,34;6,98;C+;B;A;A
Bonópolis;MRG PORANGATU;NORTE GOIANO;3.299;pequeno porte I;0,630;0,43;3.213.392,02;974,05;22.197,63;18.618,96;22.457,55;22.149,00;25.565,00;6,99;7,59;7,83;7,29;B+;B+;A;B+
Brazabrantes;MRG ANÁPOLIS;CENTRO GOIANO;3.992;pequeno porte I;0,701;0,41;4.097.980,46;1.026,55;26.389,71;21.973,85;31.857,99;29.765,00;21.962,00;7,90;7,35;8,08;6,65;A;B+;A;A
Britânia;MRG RIO VERMELHO;NOROESTE GOIANO;5.695;pequeno porte I;0,672;0,56;5.741.398,01;1.008,15;20.357,63;16.238,65;17.975,85;19.624,00;27.592,00;8,30;8,20;8,50;7,00;B;B+;-;A
Buriti Alegre;MRG MEIA PONTE;SUL GOIANO;10.495;pequeno porte I;0,710;0,45;6.325.487,87;602,71;31.618,83;21.815,25;31.622,05;32.991,00;40.047,00;6,30;7,37;8,40;7,91;B+;B+;B+;B
Buriti de Goiás;MRG ANICUNS;CENTRO GOIANO;2.732;pequeno porte I;0,687;0,49;4.274.836,50;1.564,73;15.783,97;13.515,02;14.273,85;15.223,00;20.124,00;8,98;8,76;9,23;8,68;-;A;B+;B
Buritinópolis;MRG VÃO DO PARANÃ;LESTE GOIANO;3.145;pequeno porte I;0,704;0,78;3.238.924,41;1.029,86;20.274,23;7.685,71;24.767,22;22.850,00;25.794,00;6,13;6,32;7,97;7,98;B+;C+;B;-
Cabeceiras;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;7.560;pequeno porte I;0,668;0,50;4.926.537,70;651,66;31.781,46;26.497,59;34.393,25;27.594,00;38.641,00;7,30;8,23;7,67;8,10;-;B+;A;A
Cachoeira Alta;MRG QUIRINÓPOLIS;SUL GOIANO;11.513;pequeno porte I;0,710;0,52;10.469.635,11;909,38;21.173,14;21.001,34;21.782,23;19.219,00;22.690,00;7,29;8,01;9,07;8,58;-;-;B+;B+
Cachoeira de Goiás;MRG IPORÁ;CENTRO GOIANO;1.405;pequeno porte I;0,727;0,47;2.876.426,60;2.047,28;19.930,92;16.865,37;17.600,30;20.102,00;25.156,00;7,34;6,96;7,04;7,71;-;B+;A;B+
Cachoeira Dourada;MRG MEIA PONTE;SUL GOIANO;7.782;pequeno porte I;0,698;0,48;9.379.105,93;1.205,23;85.245,25;64.508,28;114.807,73;110.272,00;51.393,00;8,67;8,75;7,63;8,68;B;B;B;B
Caçu;MRG QUIRINÓPOLIS;SUL GOIANO;13.774;pequeno porte I;0,730;0,54;18.867.327,97;1.369,78;50.172,68;33.460,05;53.694,65;57.727,00;55.809,00;7,11;8,41;8,32;8,33;B;-;B+;B+
Caiapônia;MRG SUDOESTE DE GOIÁS;SUL GOIANO;16.513;pequeno porte I;0,693;0,53;13.707.916,48;830,13;32.251,40;28.520,22;34.636,37;35.927,00;29.922,00;6,21;6,16;8,11;7,27;C+;B+;A;A
Caldas Novas;MRG MEIA PONTE;SUL GOIANO;98.622;médio porte;0,733;0,51;54.860.218,82;556,27;26.865,37;24.717,26;26.695,20;28.676,00;27.373,00;6,16;6,11;6,31;6,27;B+;B;A;B+
Caldazinha;MRG GOIÂNIA;CENTRO GOIANO;4.507;pequeno porte I;0,685;0,47;2.503.991,91;555,58;14.305,41;11.881,51;12.144,12;13.478,00;19.718,00;7,64;8,12;7,64;7,45;A;-;B+;A
Campestre de Goiás;MRG VALE DO RIO DOS BOIS;SUL GOIANO;3.755;pequeno porte I;0,653;0,45;3.120.846,74;831,12;14.829,69;13.304,88;13.525,88;16.035,00;16.453,00;5,99;7,56;7,71;8,32;-;-;B+;B+
Campinaçu;MRG PORANGATU;NORTE GOIANO;3.708;pequeno porte I;0,631;0,56;4.800.347,96;1.294,59;16.458,19;14.187,24;13.341,50;16.909,00;21.395,00;7,91;8,11;7,83;9,73;B+;B+;B+;B+
Campinorte;MRG PORANGATU;NORTE GOIANO;12.510;pequeno porte I;0,688;0,49;6.968.109,33;557,00;18.636,78;16.789,15;15.917,97;18.132,00;23.708,00;7,19;7,31;7,63;7,93;B;B;B+;B
Campo Alegre de Goiás;MRG CATALÃO;SUL GOIANO;7.422;pequeno porte I;0,694;0,47;7.316.729,27;985,82;59.366,39;50.879,36;55.960,20;55.469,00;75.157,00;8,38;8,43;8,23;8,70;B;B+;B+;B+
Campo Limpo de Goiás;MRG ANÁPOLIS;CENTRO GOIANO;8.081;pequeno porte I;0,661;0,43;5.216.301,70;645,50;13.721,68;12.279,46;11.314,24;13.283,00;18.010,00;6,06;6,11;5,82;6,12;-;-;B+;B
Campos Belos;MRG CHAPADA DOS VEADEIROS;NORTE GOIANO;18.108;pequeno porte I;0,692;0,56;15.381.962,91;849,46;13.207,65;12.199,79;12.562,82;13.598,00;14.470,00;7,21;7,09;7,26;7,51;-;B;B+;B
Campos Verdes;MRG PORANGATU;NORTE GOIANO;4.005;pequeno porte I;0,654;0,47;4.957.058,56;1.237,72;17.364,22;11.844,00;11.984,88;18.196,00;27.432,00;7,55;7,76;7,93;6,63;B+;C;B+;B+
Carmo do Rio Verde;MRG CERES;CENTRO GOIANO;9.710;pequeno porte I;0,713;0,46;5.228.012,69;538,42;24.166,23;19.594,64;25.795,29;25.025,00;26.250,00;7,36;7,67;7,98;7,20;-;A;A;B
Castelândia;MRG SUDOESTE DE GOIÁS;SUL GOIANO;2.985;pequeno porte I;0,701;0,59;3.694.938,34;1.237,84;24.269,54;19.752,23;23.482,92;29.264,00;24.579,00;7,06;8,11;8,95;9,09;B;C+;B+;B
Catalão;MRG CATALÃO;SUL GOIANO;114.427;grande porte;0,766;0,51;61.306.557,10;535,77;60.106,16;59.075,89;58.559,74;57.291,00;65.498,00;6,14;6,37;6,75;6,77;B;-;B+;B+
Caturaí;MRG ANÁPOLIS;CENTRO GOIANO;5.184;pequeno porte I;0,664;0,44;4.732.072,79;912,82;13.559,72;11.382,86;14.316,01;13.553,00;14.987,00;7,90;8,49;9,22;8,95;B+;-;A;B+
Cavalcante;MRG CHAPADA DOS VEADEIROS;NORTE GOIANO;9.583;pequeno porte I;0,584;0,63;7.884.701,42;822,78;29.724,66;21.428,74;25.303,89;26.122,00;46.044,00;6,30;7,07;7,65;7,15;B+;B;B;B
Ceres;MRG CERES;CENTRO GOIANO;22.046;pequeno porte II;0,775;0,53;39.609.388,70;1.796,67;24.596,17;21.356,66;22.670,01;24.894,00;29.464,00;9,05;9,02;8,86;8,23;B+;B+;B+;B+
Cezarina;MRG VALE DO RIO DOS BOIS;SUL GOIANO;8.090;pequeno porte I;0,711;0,48;5.313.786,80;656,83;34.606,69;33.627,52;32.385,23;33.748,00;38.666,00;7,95;6,70;8,37;7,79;B+;B+;B+;A
Chapadão do Céu;MRG SUDOESTE DE GOIÁS;SUL GOIANO;12.870;pequeno porte I;0,742;0,42;16.789.160,67;1.304,52;126.569,43;97.839,39;121.054,33;112.384,00;175.000,00;8,72;8,15;9,20;8,72;B;B;B+;B
Cidade Ocidental;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;91.767;médio porte;0,717;0,52;25.413.743,32;276,94;10.809,72;9.342,66;10.694,22;11.394,00;11.808,00;5,52;6,15;6,77;6,73;C;-;B+;B+
Cocalzinho de Goiás;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;25.016;pequeno porte II;0,657;0,49;10.692.123,29;427,41;15.913,92;14.444,90;14.789,79;16.327,00;18.094,00;7,03;7,29;7,41;7,23;-;-;B;B
Colinas do Sul;MRG CHAPADA DOS VEADEIROS;NORTE GOIANO;4.030;pequeno porte I;0,658;0,51;5.113.557,19;1.268,87;13.360,15;11.745,10;11.540,49;13.309,00;16.846,00;7,89;8,00;8,54;7,54;B+;C+;B;B
Córrego do Ouro;MRG IPORÁ;CENTRO GOIANO;2.454;pequeno porte I;0,686;0,49;4.119.371,74;1.678,64;20.413,76;17.252,55;17.697,49;19.360,00;27.345,00;8,03;7,50;9,16;9,81;B+;B;A;A
Corumbá de Goiás;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;10.562;pequeno porte I;0,680;0,52;7.268.478,33;688,17;15.661,96;12.668,94;12.933,88;15.791,00;21.254,00;7,06;7,27;8,36;7,06;-;B;B+;-
Corumbaíba;MRG CATALÃO;SUL GOIANO;9.164;pequeno porte I;0,698;0,48;9.817.768,32;1.071,34;56.592,72;49.317,11;48.718,78;61.515,00;66.820,00;8,75;8,29;8,40;8,71;A;B+;B;B+
Cristalina;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;62.337;médio porte;0,699;0,58;40.569.782,50;650,81;43.287,44;34.957,51;42.330,24;40.301,00;55.561,00;6,18;6,76;6,72;7,01;B;B+;B+;B+
Cristianópolis;MRG PIRES DO RIO;SUL GOIANO;3.504;pequeno porte I;0,688;0,53;3.239.545,18;924,53;26.207,72;28.605,68;22.427,18;24.729,00;29.069,00;8,52;8,71;8,32;7,86;-;-;B;B
Crixás;MRG SÃO MIGUEL DO ARAGUAIA;NOROESTE GOIANO;17.065;pequeno porte I;0,708;0,56;12.967.423,04;759,88;28.429,34;22.319,11;23.428,26;30.962,00;37.008,00;7,98;8,36;8,68;8,34;B;-;B;B+
Cromínia;MRG MEIA PONTE;SUL GOIANO;3.883;pequeno porte I;0,706;0,52;4.471.862,77;1.151,65;19.668,34;16.216,56;17.814,81;20.076,00;24.566,00;8,00;7,59;9,15;9,29;B;B;B+;-
Cumari;MRG CATALÃO;SUL GOIANO;2.927;pequeno porte I;0,737;0,59;4.162.129,06;1.421,98;22.229,83;20.683,52;20.105,80;21.094,00;27.036,00;7,69;7,72;8,52;8,51;C;B;A;B+
Damianópolis;MRG VÃO DO PARANÃ;LESTE GOIANO;3.770;pequeno porte I;0,654;0,56;3.684.868,84;977,42;10.041,26;8.313,44;9.047,60;10.181,00;12.623,00;8,27;8,14;9,02;8,82;-;-;A;-
Damolândia;MRG ANÁPOLIS;CENTRO GOIANO;2.724;pequeno porte I;0,697;0,49;3.486.454,37;1.279,90;13.372,73;12.426,60;12.583,33;13.597,00;14.884,00;7,82;8,88;9,64;8,90;B+;C;B+;B+
Davinópolis;MRG CATALÃO;SUL GOIANO;1.902;pequeno porte I;0,716;0,40;3.486.519,08;1.833,08;174.160,78;74.085,73;148.316,37;185.551,00;288.690,00;7,12;8,40;8,00;7,79;-;-;B;B+
Diorama;MRG ARAGARÇAS;NOROESTE GOIANO;2.062;pequeno porte I;0,729;0,41;3.570.745,21;1.731,69;22.016,84;16.970,33;19.679,01;22.147,00;29.271,00;9,34;9,75;9,38;9,76;B+;B;B+;B+
Divinópolis de Goiás;MRG VÃO DO PARANÃ;LESTE GOIANO;4.457;pequeno porte I;0,653;0,59;4.473.438,44;1.003,69;14.161,94;10.872,85;11.745,90;16.911,00;17.118,00;6,91;8,20;8,87;8,49;B+;B+;B+;B
Doverlândia;MRG SUDOESTE DE GOIÁS;SUL GOIANO;6.956;pequeno porte I;0,668;0,46;6.682.212,47;960,64;34.001,50;23.072,29;26.788,69;49.081,00;37.064,00;7,64;8,27;8,71;9,11;A;B;B;B
Edealina;MRG VALE DO RIO DOS BOIS;SUL GOIANO;4.001;pequeno porte I;0,702;0,51;4.591.782,87;1.147,66;62.175,73;56.305,89;63.109,02;34.118,00;95.170,00;9,37;8,66;8,93;8,70;B+;B+;B+;A
Edéia;MRG VALE DO RIO DOS BOIS;SUL GOIANO;11.747;pequeno porte I;0,739;0,54;12.080.530,21;1.028,39;97.686,17;40.671,87;58.818,79;225.444,00;65.810,00;7,56;8,74;8,53;8,03;B+;A;B+;B+
Estrela do Norte;MRG PORANGATU;NORTE GOIANO;3.205;pequeno porte I;0,707;0,48;3.247.342,63;1.013,21;12.401,47;13.772,51;13.092,37;4.250,00;18.491,00;6,44;8,45;8,46;8,54;B;B+;B;B+
Faina;MRG RIO VERMELHO;NOROESTE GOIANO;7.070;pequeno porte I;0,650;0,47;5.459.991,85;772,28;20.539,00;13.515,49;15.673,49;32.757,00;20.210,00;7,89;8,35;8,44;7,81;B+;B+;A;B
Fazenda Nova;MRG IPORÁ;CENTRO GOIANO;5.877;pequeno porte I;0,685;0,47;4.291.854,99;730,28;17.105,95;14.654,04;16.436,75;15.218,00;22.115,00;8,06;7,79;8,14;8,28;-;C+;A;B+
Firminópolis;MRG ANICUNS;CENTRO GOIANO;10.419;pequeno porte I;0,732;0,44;6.860.443,81;658,46;17.616,52;11.128,65;12.227,44;30.679,00;16.431,00;7,70;8,11;7,81;7,84;-;A;A;A
Flores de Goiás;MRG VÃO DO PARANÃ;LESTE GOIANO;13.744;pequeno porte I;0,597;0,63;6.784.359,57;493,62;10.146,78;8.960,94;9.487,18;10.931,00;11.208,00;5,83;6,49;7,09;6,66;-;B;-;C+
Formosa;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;115.901;grande porte;0,744;0,56;54.819.657,32;472,99;50.270,91;15.547,93;18.456,69;144.936,00;22.143,00;6,21;6,67;6,38;6,08;-;B;B;B+
Formoso;MRG PORANGATU;NORTE GOIANO;4.660;pequeno porte I;0,715;0,57;5.040.671,50;1.081,69;12.014,11;11.772,28;12.971,17;550,00;22.763,00;7,64;7,59;8,98;8,35;-;B+;B+;B+
Gameleira de Goiás;MRG PIRES DO RIO;SUL GOIANO;3.456;pequeno porte I;0,659;0,54;5.391.200,03;1.559,95;38.385,86;26.797,26;34.753,16;35.453,00;56.540,00;6,47;7,09;7,30;6,57;A;B+;C+;B+
Goianápolis;MRG GOIÂNIA;CENTRO GOIANO;13.967;pequeno porte I;0,703;0,53;6.704.990,58;480,06;17.260,63;13.923,20;14.700,31;18.677,00;21.742,00;8,36;7,39;8,18;7,74;B;B+;B;B+
Goiandira;MRG CATALÃO;SUL GOIANO;4.973;pequeno porte I;0,760;0,43;4.024.213,40;809,21;21.817,27;15.565,01;20.122,06;23.327,00;28.255,00;8,30;7,95;9,40;9,33;-;B+;A;A
Goianésia;MRG CERES;CENTRO GOIANO;73.707;médio porte;0,727;0,47;43.515.858,24;590,39;19.317,62;16.141,13;18.620,35;20.109,00;22.400,00;7,60;8,00;8,01;8,27;-;-;B+;B+
Goiânia;MRG GOIÂNIA;CENTRO GOIANO;1.437.366;metrópole;0,799;0,59;1.170.289.208,13;814,19;32.939,50;32.718,00;32.209,01;33.004,00;33.827,00;6,90;6,71;6,44;6,00;B;B+;B;B+
Goianira;MRG GOIÂNIA;CENTRO GOIANO;71.916;médio porte;0,694;0,41;20.379.906,50;283,38;19.823,82;16.742,52;19.640,77;21.705,00;21.207,00;7,13;7,45;7,73;7,86;A;B+;B+;B+
Goiás;MRG RIO VERMELHO;NOROESTE GOIANO;24.071;pequeno porte II;0,709;0,53;22.509.923,60;935,15;20.910,71;17.242,37;16.933,45;20.137,00;29.330,00;8,90;8,45;8,13;8,30;B+;-;B+;B+
Goiatuba;MRG MEIA PONTE;SUL GOIANO;35.664;pequeno porte II;0,725;0,52;27.057.834,64;758,69;44.610,71;34.110,60;43.031,23;45.435,00;55.866,00;7,83;7,69;8,70;8,84;-;B;B+;B
Gouvelândia;MRG QUIRINÓPOLIS;SUL GOIANO;4.390;pequeno porte I;0,674;0,45;4.905.360,79;1.117,39;29.301,62;24.586,04;33.660,44;30.892,00;28.068,00;6,29;6,62;6,17;7,03;C+;B+;B+;B+
Guapó;MRG GOIÂNIA;CENTRO GOIANO;19.545;pequeno porte I;0,697;0,56;8.237.541,43;421,47;14.004,51;11.388,39;11.896,65;14.366,00;18.367,00;6,52;7,08;7,27;6,98;B+;C;B+;B
Guaraíta;MRG CERES;CENTRO GOIANO;2.188;pequeno porte I;0,687;0,42;3.143.132,28;1.436,53;15.940,75;11.665,76;13.576,25;16.237,00;22.284,00;5,78;7,62;7,67;8,20;-;-;-;-
Guarani de Goiás;MRG VÃO DO PARANÃ;LESTE GOIANO;4.085;pequeno porte I;0,637;0,49;3.773.359,17;923,71;12.872,84;9.557,93;10.616,44;13.511,00;17.806,00;6,22;7,04;7,53;6,52;B+;B;B+;B+
Guarinos;MRG CERES;CENTRO GOIANO;2.161;pequeno porte I;0,652;0,47;2.994.007,95;1.385,47;24.366,75;13.293,22;21.831,78;31.723,00;30.619,00;6,08;7,16;7,51;7,42;-;-;B+;B+
Heitoraí;MRG ANÁPOLIS;CENTRO GOIANO;3.354;pequeno porte I;0,694;0,53;3.931.287,07;1.172,12;14.272,95;11.333,35;12.140,45;15.197,00;18.421,00;8,16;8,34;9,03;9,42;-;B+;-;B+
Hidrolândia;MRG GOIÂNIA;CENTRO GOIANO;27.742;pequeno porte II;0,706;0,47;14.638.183,99;527,65;42.273,46;25.701,03;36.399,81;53.847,00;53.146,00;7,37;7,57;7,67;7,84;A;A;A;C+
Hidrolina;MRG CERES;CENTRO GOIANO;3.545;pequeno porte I;0,677;0,43;3.535.358,68;997,28;16.208,02;13.559,58;14.155,50;15.437,00;21.680,00;6,48;8,61;8,64;8,30;A;B+;A;B+
Iaciara;MRG VÃO DO PARANÃ;LESTE GOIANO;10.584;pequeno porte I;0,644;0,55;6.958.986,50;657,50;11.555,43;9.772,21;10.710,49;11.694,00;14.045,00;5,80;6,98;6,17;6,52;B;-;C+;B
Inaciolândia;MRG MEIA PONTE;SUL GOIANO;5.954;pequeno porte I;0,692;0,45;5.335.585,31;896,13;32.602,44;24.919,93;34.726,83;34.104,00;36.659,00;8,13;7,57;8,78;8,73;B;C;B;B
Indiara;MRG VALE DO RIO DOS BOIS;SUL GOIANO;17.061;pequeno porte I;0,701;0,46;10.047.770,83;588,93;22.653,49;21.367,99;21.966,96;20.639,00;26.640,00;7,21;6,38;7,32;7,40;-;B+;B+;B+
Inhumas;MRG ANÁPOLIS;CENTRO GOIANO;52.204;médio porte;0,720;0,47;31.616.998,91;605,64;20.603,06;18.197,99;18.933,26;21.657,00;23.624,00;7,94;7,54;7,86;8,24;A;B+;B+;A
Ipameri;MRG CATALÃO;SUL GOIANO;25.548;pequeno porte II;0,701;0,51;19.332.295,33;756,70;49.975,29;33.016,71;44.237,45;55.481,00;67.166,00;8,53;8,58;8,97;8,41;-;-;A;B+
Ipiranga de Goiás;MRG CERES;CENTRO GOIANO;2.919;pequeno porte I;0,696;0,43;2.534.678,70;868,34;18.076,99;14.650,34;18.284,61;18.460,00;20.913,00;3,73;5,61;8,24;7,69;B+;B;A;A
Iporá;MRG IPORÁ;CENTRO GOIANO;35.684;pequeno porte II;0,743;0,52;22.535.059,89;631,52;19.707,11;16.009,52;18.040,93;20.854,00;23.924,00;7,82;7,37;8,43;7,40;B+;A;B+;B+
Israelândia;MRG IPORÁ;CENTRO GOIANO;2.560;pequeno porte I;0,711;0,44;3.011.805,26;1.176,49;16.852,13;13.690,47;15.650,05;17.254,00;20.814,00;7,66;7,85;9,07;7,90;B+;A;B+;B+
Itaberaí;MRG ANÁPOLIS;CENTRO GOIANO;44.734;pequeno porte II;0,719;0,56;20.663.508,66;461,92;28.098,45;22.879,75;26.430,06;30.571,00;32.513,00;6,83;7,44;7,34;6,40;A;B+;B+;B+
Itaguari;MRG ANÁPOLIS;CENTRO GOIANO;4.963;pequeno porte I;0,693;0,39;4.067.683,01;819,60;14.421,56;12.008,92;12.565,32;15.084,00;18.028,00;6,72;7,13;7,31;7,15;A;-;-;A
Itaguaru;MRG ANÁPOLIS;CENTRO GOIANO;4.904;pequeno porte I;0,718;0,46;4.234.094,77;863,40;13.735,00;11.376,26;12.432,75;14.624,00;16.507,00;7,61;8,41;9,00;9,50;B;B+;A;B+
Itajá;MRG QUIRINÓPOLIS;SUL GOIANO;4.380;pequeno porte I;0,691;0,45;5.805.403,44;1.325,43;21.392,65;19.156,24;20.693,37;21.534,00;24.187,00;7,28;6,63;8,03;9,54;C+;C+;B+;B
Itapaci;MRG CERES;CENTRO GOIANO;21.087;pequeno porte II;0,725;0,56;12.634.058,29;599,14;16.067,49;14.288,46;15.213,50;15.211,00;19.557,00;7,92;7,34;8,05;7,79;-;C+;B+;B+
Itapirapuã;MRG RIO VERMELHO;NOROESTE GOIANO;8.007;pequeno porte I;0,677;0,46;6.559.152,68;819,18;26.415,67;18.876,56;21.765,10;26.910,00;38.111,00;7,59;8,07;9,10;7,85;A;B+;B;B+
Itapuranga;MRG CERES;CENTRO GOIANO;26.113;pequeno porte II;0,726;0,49;16.769.120,92;642,18;16.052,32;13.889,33;14.523,96;16.339,00;19.457,00;8,13;8,84;8,69;9,15;B+;-;B+;-
Itarumã;MRG QUIRINÓPOLIS;SUL GOIANO;6.101;pequeno porte I;0,693;0,60;7.096.800,37;1.163,22;31.895,14;22.735,06;32.934,50;34.553,00;37.358,00;8,12;8,63;8,49;9,14;-;B;B+;A
Itauçu;MRG ANÁPOLIS;CENTRO GOIANO;7.736;pequeno porte I;0,718;0,46;6.022.090,71;778,45;16.401,33;15.216,86;14.219,45;15.978,00;20.191,00;8,00;7,97;8,69;8,15;-;-;-;B+
Itumbiara;MRG MEIA PONTE;SUL GOIANO;107.970;grande porte;0,752;0,49;65.403.778,26;605,76;41.184,15;38.763,45;40.477,15;40.400,00;45.096,00;6,85;5,99;6,24;6,34;B;-;B;B+
Ivolândia;MRG IPORÁ;CENTRO GOIANO;2.693;pequeno porte I;0,704;0,46;3.949.165,50;1.466,46;36.792,71;21.985,16;32.392,68;35.281,00;57.512,00;8,85;9,20;9,33;9,59;B;B;B+;B+
Jandaia;MRG VALE DO RIO DOS BOIS;SUL GOIANO;6.272;pequeno porte I;0,707;0,45;6.180.926,41;985,48;42.198,28;31.404,36;41.228,74;40.354,00;55.806,00;7,21;7,58;8,84;8,15;B+;B;B+;A
Jaraguá;MRG ANÁPOLIS;CENTRO GOIANO;45.223;pequeno porte II;0,699;0,47;16.553.749,93;366,05;14.362,39;14.125,30;13.390,27;14.196,00;15.738,00;6,75;6,46;6,90;7,06;B;B;B;B
Jataí;MRG SUDOESTE DE GOIÁS;SUL GOIANO;105.729;grande porte;0,757;0,57;83.394.628,12;788,76;46.038,21;37.772,42;41.620,42;46.149,00;58.611,00;6,98;7,59;7,41;7,31;B+;A;A;A
Jaupaci;MRG IPORÁ;CENTRO GOIANO;2.924;pequeno porte I;0,689;0,42;2.829.978,25;967,84;16.740,63;12.293,34;15.168,18;17.006,00;22.495,00;8,02;7,95;8,55;8,32;B;B;B;B+
Jesúpolis;MRG ANÁPOLIS;CENTRO GOIANO;2.123;pequeno porte I;0,649;0,45;2.179.067,52;1.026,41;11.506,34;10.246,42;10.585,94;11.768,00;13.425,00;6,25;6,98;7,24;7,86;B+;B+;B+;B+
Joviânia;MRG MEIA PONTE;SUL GOIANO;7.159;pequeno porte I;0,706;0,49;6.221.245,15;869,01;28.528,07;21.932,17;28.443,11;28.515,00;35.222,00;7,68;7,64;8,45;8,25;B+;-;B;B
