Localidade;Microrregiões Geográficas;Mesorregiões Geográficas;População;porte;IDHM;Índice de Gini;Desp. Saúde 2018;Desp. Saúde Per Capta 2018;PIB médio de 2014 a 2020;PIB 2014;PIB 2016;PIB 2018;PIB 2020;IDM 2014;IDM 2016;IDM 2018;IDM 2020;IEGM 2015;IEGM 2016;IEGM 2017;IEGM 2018
Petrolina de Goiás;MRG ANÁPOLIS;CENTRO GOIANO;9.573;pequeno porte I;0,712;0,42;5.518.828,09;576,50;13.636,20;11.683,92;12.732,88;14.366,00;15.762,00;7,45;7,75;8,73;7,96;B+;-;C+;B+
Pilar de Goiás;MRG CERES;CENTRO GOIANO;2.328;pequeno porte I;0,684;0,54;4.393.366,20;1.887,18;65.553,68;42.473,68;60.385,05;86.654,00;72.702,00;5,15;6,80;7,77;6,08;B+;B+;B+;A
Piracanjuba;MRG MEIA PONTE;SUL GOIANO;24.883;pequeno porte II;0,721;0,48;16.221.281,62;651,90;33.261,94;26.472,52;29.862,24;32.400,00;44.313,00;7,85;7,39;7,79;8,86;C+;B;B+;B+
Piranhas;MRG ARAGARÇAS;NOROESTE GOIANO;11.712;pequeno porte I;0,721;0,50;8.651.252,46;738,67;34.971,80;26.689,74;31.821,44;36.039,00;45.337,00;7,84;7,52;8,46;7,61;B+;-;B;B
Pirenópolis;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;26.690;pequeno porte II;0,693;0,50;8.958.035,64;335,63;17.625,09;16.422,19;14.120,17;18.116,00;21.842,00;7,05;7,92;7,81;7,52;B+;B;B+;-
Pires do Rio;MRG PIRES DO RIO;SUL GOIANO;32.373;pequeno porte II;0,744;0,47;19.207.190,77;593,31;27.458,52;21.904,46;25.487,60;28.706,00;33.736,00;6,24;6,19;6,86;6,74;B+;B+;B+;B
Planaltina;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;105.031;grande porte;0,669;0,45;45.511.599,82;433,32;11.848,70;10.236,65;10.896,14;12.177,00;14.085,00;6,51;6,97;6,80;6,98;B+;-;C+;B+
Pontalina;MRG MEIA PONTE;SUL GOIANO;18.309;pequeno porte I;0,687;0,55;9.484.857,81;518,04;27.108,85;22.934,52;24.999,87;27.501,00;33.000,00;6,84;6,56;7,62;8,14;B+;B+;B+;B+
Porangatu;MRG PORANGATU;NORTE GOIANO;44.317;pequeno porte II;0,727;0,57;30.017.695,56;677,34;20.032,69;18.262,03;18.775,73;20.812,00;22.281,00;6,23;6,22;6,91;7,65;B+;B;B;B
Porteirão;MRG MEIA PONTE;SUL GOIANO;4.070;pequeno porte I;0,684;0,41;3.714.416,63;912,63;52.954,20;46.433,54;61.808,27;49.981,00;53.594,00;7,23;7,26;9,30;8,01;-;B;B+;A
Portelândia;MRG SUDOESTE DE GOIÁS;SUL GOIANO;3.280;pequeno porte I;0,654;0,40;5.208.856,69;1.588,07;50.414,05;39.385,74;51.122,47;53.969,00;57.179,00;8,30;7,92;8,06;8,53;B+;-;-;B+
Posse;MRG VÃO DO PARANÃ;LESTE GOIANO;34.914;pequeno porte II;0,659;0,55;21.272.738,95;609,29;13.782,12;12.436,66;13.190,83;13.965,00;15.536,00;5,68;5,56;6,62;7,41;-;-;C+;-
Professor Jamil;MRG MEIA PONTE;SUL GOIANO;3.649;pequeno porte I;0,684;0,44;3.339.470,85;915,17;17.687,48;17.737,09;14.953,82;18.188,00;19.871,00;7,36;6,10;7,34;6,38;B+;B+;B+;B+
Quirinópolis;MRG QUIRINÓPOLIS;SUL GOIANO;48.447;pequeno porte II;0,740;0,48;30.352.106,32;626,50;33.677,73;28.478,89;33.075,02;34.104,00;39.053,00;6,35;7,48;7,72;7,80;B;B;B+;B
Rialma;MRG CERES;CENTRO GOIANO;12.165;pequeno porte I;0,727;0,45;5.810.655,31;477,65;19.462,38;14.873,91;17.329,59;20.226,00;25.420,00;7,29;8,00;8,67;8,13;B+;B;B+;B+
Rianápolis;MRG CERES;CENTRO GOIANO;3.980;pequeno porte I;0,693;0,42;3.896.418,93;979,00;18.963,37;22.009,77;18.824,72;19.676,00;15.343,00;6,82;7,10;7,80;7,96;-;B+;A;A
